id,CompoundName,CompounrDescription,strImageSource,strImageAttribution,dateModified
1,Ammonium,The ammonium cation is a positively-charged polyatomic ion with the chemical formula NH+4or [NH4]+.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Ammonium-2D.svg/1200px-Ammonium-2D.svg.png,,2016-07-18 22:06:00
2,Methylammonium Iodide,"Methylammonium halides are organic halides with a formula of [CH3NH3]+X−, where X is Cl for methylammonium chloride, Br for methylammonium bromide, or I for methylammonium iodide. Generally they are white or light colored powders.",https://www.ossila.com/files/1/0823/0287/files/methyl-ammonium-iodide-structure_240x196.png,https://www.ossila.com/en-in/products/mai-methyl-ammonium-iodide,2016-07-18 22:06:00
3,Hydroxide,"Hydroxide is a diatomic anion with chemical formula OH−. It consists of an oxygen and hydrogen atom held together by a single covalent bond, and carries a negative electric charge.",https://upload.wikimedia.org/wikipedia/commons/b/b0/Hydroxide_lone_pairs-2D.svg,https://commons.wikimedia.org/wiki/File:Hydroxide_lone_pairs-2D.svg,2016-07-18 22:06:00
4,Cyanide,"In chemistry, a cyanide (from Greek kyanos 'dark blue') is a chemical compound that contains a C≡N functional group. This group, known as the cyano group, consists of a carbon atom triple-bonded to a nitrogen atom.",https://upload.wikimedia.org/wikipedia/commons/b/be/Cyanide-montage.png,,2016-07-18 22:06:00
5,Ammonium aluminium sulphate,"Ammonium aluminium sulfate, also known as ammonium alum or just alum (though there are many different substances also called 'alum'), is a white crystalline double sulfate usually encountered as the dodecahydrate, formula (NH4)Al(SO4)2·12H2O. It is used in small amounts in a variety of niche applications.",https://upload.wikimedia.org/wikipedia/commons/2/22/Ammonium-alum-3D-vdW.png,,2016-07-18 22:06:00
6,Acetyl salicyclic acid,"Aspirin, also known as acetylsalicylic acid (ASA), is a nonsteroidal anti-inflammatory drug (NSAID) used to reduce pain, fever, and/or inflammation, and as an antithrombotic.[5] Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever.",https://upload.wikimedia.org/wikipedia/commons/6/67/Aspirin-skeletal.svg,,2016-07-18 22:06:00
7,Nitrohydrochloric acid,"Aqua regia (/ˈreɪɡiə, ˈriːdʒiə/; from Latin, literally 'regal water' or 'royal water') is a mixture of nitric acid and hydrochloric acid, optimally in a molar ratio of 1:3. Aqua regia is a fuming liquid. Freshly prepared aqua regia is colorless, but it turns yellow, orange or red within seconds from the formation of nitrosyl chloride and nitrogen dioxide. It was named by alchemists because it can dissolve the noble metals gold and platinum, though not all metals.",https://upload.wikimedia.org/wikipedia/commons/d/de/Aqua_regia.svg,https://commons.wikimedia.org/wiki/File:Aqua_regia.svg,2016-07-18 22:06:00
8,Sulphuric acid,"Sulfuric acid (American spelling and the preferred IUPAC name) or sulphuric acid (Commonwealth spelling), known in antiquity as oil of vitriol, is a mineral acid composed of the elements sulfur, oxygen and hydrogen, with the molecular formula H2SO4. It is a colorless, odorless and viscous liquid that is miscible with water.",https://upload.wikimedia.org/wikipedia/commons/c/c0/Sulfuric-acid-Givan-et-al-1999-3D-balls.png,,2016-07-18 22:06:00
9,Sodium bicarbonate,"Sodium bicarbonate (IUPAC name: sodium hydrogencarbonate), commonly known as baking soda or bicarbonate of soda, is a chemical compound with the formula NaHCO3. It is a salt composed of a sodium cation (Na+) and a bicarbonate anion (HCO3−). Sodium bicarbonate is a white solid that is crystalline, but often appears as a fine powder.",https://upload.wikimedia.org/wikipedia/commons/2/22/SodiumBicarbonate.svg,,2016-07-18 22:06:00
10,Calcium chlorohypochlorite,"Calcium hypochlorite is an inorganic compound with formula Ca(OCl)2. It is the main active ingredient of commercial products called bleaching powder, chlorine powder, or chlorinated lime, used for water treatment and as a bleaching agent. This compound is relatively stable and has greater available chlorine than sodium hypochlorite. It is a white solid, although commercial samples appear yellow.",https://upload.wikimedia.org/wikipedia/commons/4/43/Calcium_hypochlorite.png,,2016-07-18 22:06:00
